anime_id,name,genre,type,episodes,rating
21,,"Action,Adventure,Comedy,Drama,Fantasy,Shounen,Super Power",TV,,8.60
19067,,Game,TV,64,6.71
235,,"Adventure,Comedy,Mystery,Police,Shounen",TV,,8.16
1735,,"Action,Adventure,Comedy,Martial Arts,Shounen,Super Power",TV,500,8.22
966,,"Comedy,Ecchi,School,Seinen,Slice of Life",TV,,7.72
7505,,"Comedy,Drama,Fantasy,Kids",TV,,6.11
33157,,"Comedy,School,Slice of Life",Special,7,7.42
34754,,"Fantasy,Slice of Life",TV,59,6.68
21639,,"Action,Fantasy,Game,Shounen",TV,148,6.72
8687,,"Comedy,Kids,Sci-Fi,Shounen",TV,,7.58
32410,,"Sci-Fi,Seinen",Special,5,5.69
30694,,"Action,Adventure,Comedy,Fantasy,Martial Arts,Shounen,Super Power",TV,131,7.40
2406,,"Comedy,Slice of Life",TV,,6.12
36904,,"Comedy,Slice of Life",ONA,10,7.66
6149,,"Comedy,Kids,School,Slice of Life",TV,,7.23
23539,,"Comedy,Kids",TV,,7.03
34178,,Sports,ONA,6,6.77
34034,,"Action,Fantasy,Game,Kids,School",TV,146,6.81
31049,,"Action,Adventure,Kids,Sci-Fi,Sports",TV,51,6.38
1199,,"Comedy,Kids",TV,,7.06
32717,,"Music,School,Shoujo,Slice of Life","Music,TV",100,7.53
32932,,Romance,ONA,3,6.09
34077,,"Action,Game,Shounen",TV,52,6.60
23135,,"Music,School,Shoujo,Slice of Life","Music,TV",140,7.44
33242,,"Comedy,Harem,Romance",Special,1,6.40
33490,,"Adventure,Comedy,Kids,Mystery",TV,13,7.32
7643,,"Comedy,Kids,Slice of Life",TV,37,6.31
29765,,,Movie,1,5.85
13163,,"Historical,Kids,Supernatural",TV,258,6.99
33589,,"Action,Drama,Martial Arts",TV,12,7.04
19157,,"Comedy,Demons,Kids,Supernatural",TV,214,6.49
31044,,"Fantasy,Kids,Slice of Life",TV,139,6.12
32829,,"Comedy,Historical",TV,26,7.06
28921,,Kids,TV,37,5.77
33241,,"Romance,Slice of Life",TV,10,7.36
1960,,"Comedy,Fantasy,Kids",TV,,6.45
10800,,"Drama,Game,Josei,School,Slice of Life,Sports",TV,25,8.21
4459,,"Adventure,Comedy,Fantasy,Kids",TV,,6.35
32248,,"Action,Historical,Samurai,Super Power",ONA,6,5.94
32670,,"Fantasy,Game",TV,51,5.83
32881,,"Action,Drama,Shounen,Sports",TV,38,6.95
33314,,"Action,Adventure,Comedy,Fantasy,Kids,Sci-Fi",TV,52,6.57
25049,,"Action,Comedy,Fantasy",ONA,3,5.11
9981,,"Action,Game,Mystery,Shounen",TV,25,7.19
